A=3239 B=9392 C=6890 X=173286305 Y=4846241599 Z=90424446302 M=175
A=2646 B=8478 C=8923 X=183856297 Y=5455570823 Z=64658173458 M=103
A=6588 B=8662 C=6067 X=644210070 Y=6351572044 Z=70962614397 M=143
A=3726 B=8159 C=5118 X=926469124 Y=7873518695 Z=40331174246 M=176
A=9923 B=6073 C=7811 X=748177905 Y=2850967796 Z=37744726049 M=149
A=4408 B=3778 C=5385 X=611204083 Y=5519512312 Z=19318257582 M=195
A=5165 B=3819 C=9504 X=891513313 Y=1453688934 Z=20575232370 M=161
A=3882 B=3713 C=6083 X=985715632 Y=3406491816 Z=84298779832 M=97
A=8158 B=9595 C=5157 X=966493755 Y=2164027338 Z=76490976898 M=57
A=7955 B=5487 C=7427 X=404393091 Y=4278265385 Z=68785255977 M=79
A=9500 B=8927 C=9888 X=885820795 Y=7188340249 Z=17714193311 M=53
A=2570 B=6941 C=9924 X=201675972 Y=4668578614 Z=76566936943 M=176
A=8969 B=8310 C=7416 X=713729082 Y=3183376999 Z=85965849924 M=58
A=4577 B=6700 C=6376 X=298010396 Y=9162179865 Z=84833858009 M=80
A=5537 B=6535 C=8761 X=464167600 Y=9073835415 Z=20952897243 M=137
A=8025 B=5222 C=9975 X=935698046 Y=5383846280 Z=64511347382 M=64
A=3587 B=9362 C=9829 X=823520481 Y=1165076490 Z=36677306666 M=78
A=2054 B=7975 C=5513 X=603158592 Y=3616330013 Z=96350747200 M=123
A=7544 B=8571 C=6914 X=315398543 Y=3013855795 Z=82598690179 M=61
A=8116 B=3821 C=7319 X=547442621 Y=5168363042 Z=70527547589 M=170
A=6755 B=7337 C=9374 X=257783356 Y=5996345702 Z=44153605976 M=99
A=8896 B=9812 C=8971 X=816108985 Y=6529489366 Z=73878958409 M=162
A=4773 B=6951 C=5337 X=330050785 Y=3217159214 Z=48852520441 M=84
A=4205 B=8151 C=9042 X=851035664 Y=7548023088 Z=42340527179 M=76
A=7128 B=5043 C=7325 X=294560399 Y=6954359033 Z=50757403570 M=158
A=5868 B=9669 C=8862 X=817762524 Y=2163071018 Z=54800847141 M=113
A=3354 B=5208 C=8699 X=168445831 Y=5404571929 Z=63314095557 M=168
A=4858 B=6322 C=7203 X=458600606 Y=3407222080 Z=44701886237 M=169
A=8246 B=5033 C=5623 X=413315601 Y=7467446007 Z=35933639130 M=62
A=3107 B=7370 C=5932 X=279419766 Y=1213063862 Z=47580102407 M=65
A=5463 B=3005 C=9374 X=594595449 Y=2380725483 Z=10355993699 M=159
A=2871 B=3695 C=8342 X=656602265 Y=8562519387 Z=88029088459 M=122
A=2863 B=9964 C=5282 X=578901478 Y=8682568047 Z=79674407057 M=83
A=8766 B=3370 C=7819 X=569006011 Y=5677234053 Z=32533540928 M=160
A=4291 B=3494 C=9286 X=638472257 Y=4297852040 Z=79461788750 M=118
A=9011 B=6265 C=6485 X=699008342 Y=3326427162 Z=99199004291 M=76
A=3521 B=4829 C=6149 X=368628248 Y=7404161452 Z=21808486223 M=162
A=6091 B=6194 C=9873 X=384170507 Y=1640016563 Z=14161208848 M=117
A=5481 B=6049 C=8882 X=741287575 Y=2298831093 Z=78839214159 M=137
A=4106 B=4836 C=9579 X=894788985 Y=3538834317 Z=92886641760 M=146
A=4911 B=9865 C=7350 X=874917077 Y=9551707219 Z=22854887021 M=149
A=3950 B=7370 C=8691 X=754984880 Y=7516049775 Z=48529303491 M=148
A=4808 B=4311 C=7140 X=846717995 Y=3318469609 Z=64445797036 M=111
A=4220 B=9800 C=7570 X=863977777 Y=6550374099 Z=77019106051 M=66
A=8870 B=6852 C=9464 X=724977543 Y=9143957351 Z=38626095540 M=121
A=6705 B=8923 C=7104 X=163425081 Y=8597144191 Z=41555118914 M=194
A=9774 B=4808 C=7735 X=274247511 Y=5889923960 Z=22488964901 M=81
A=2269 B=7438 C=6451 X=792223153 Y=4911282529 Z=93275648519 M=143
A=4811 B=8505 C=6256 X=456499248 Y=7635934043 Z=84130338964 M=118
A=3017 B=3673 C=9407 X=773658673 Y=8456621274 Z=81439335104 M=172
A=9693 B=5251 C=9275 X=691732359 Y=7519271796 Z=95666764181 M=72
A=4984 B=4997 C=7129 X=534529290 Y=7644472908 Z=25017039825 M=53
A=5478 B=9598 C=9930 X=543461361 Y=9454100139 Z=21725378114 M=91
A=7711 B=9440 C=6021 X=510267676 Y=9640685964 Z=51678957762 M=171
A=2279 B=5494 C=8108 X=385926656 Y=1060395476 Z=54742266305 M=68
A=4652 B=5923 C=7190 X=586559879 Y=2193249142 Z=69274950972 M=165
A=7241 B=5430 C=5423 X=430454066 Y=4289228225 Z=45390482698 M=63
A=8486 B=9283 C=8326 X=767563010 Y=9172652363 Z=23909246646 M=184
A=3531 B=4140 C=8181 X=202371093 Y=8683780688 Z=47634301821 M=104
A=3640 B=5229 C=5324 X=208246450 Y=8360121281 Z=98654131249 M=151
A=8724 B=3428 C=5215 X=202658958 Y=9866336488 Z=18319364831 M=135
A=4181 B=3683 C=9095 X=834986430 Y=6809052494 Z=27245360940 M=156
A=2199 B=4923 C=9386 X=577631759 Y=5026948356 Z=47057293271 M=109
A=5187 B=3444 C=5699 X=293219300 Y=3860420961 Z=22370491291 M=136
A=3447 B=5794 C=5026 X=927531606 Y=5000903714 Z=38865005178 M=136
A=3216 B=4832 C=7301 X=424013774 Y=9248261370 Z=12637279846 M=127
A=2321 B=5191 C=9128 X=109179200 Y=4644481160 Z=12427676978 M=114
A=2709 B=9264 C=5757 X=457463097 Y=9500917065 Z=72810425737 M=153
A=9375 B=9524 C=9388 X=720997308 Y=8821820667 Z=17729368236 M=171
A=7650 B=4989 C=9564 X=123060840 Y=6607182218 Z=47922472426 M=103
A=3687 B=6629 C=7303 X=455768039 Y=7689630336 Z=20619140446 M=84
A=6695 B=5071 C=6812 X=649901445 Y=8717367834 Z=43810503438 M=61
A=9002 B=6295 C=5157 X=100959737 Y=7946003019 Z=95809524176 M=115
A=9459 B=9442 C=9622 X=158150489 Y=4989435245 Z=12188089010 M=114
